elapsed_time,ax,ay,az,vibration
00:00:08.867,2256.0,-336.0,-18336.0,2093.32
00:00:08.899,2284.0,-340.0,-18288.0,2049.21
00:00:08.931,2248.0,-384.0,-18260.0,2017.86
00:00:08.963,2344.0,-340.0,-18384.0,2151.95
00:00:08.995,2188.0,-396.0,-18404.0,2153.84
00:00:09.029,2260.0,-432.0,-18448.0,2206.94
00:00:09.060,2176.0,-364.0,-18452.0,2199.43
00:00:09.091,2244.0,-332.0,-18276.0,2032.24
00:00:09.123,2252.0,-376.0,-18292.0,2049.94
00:00:09.156,2296.0,-360.0,-18336.0,2098.70
00:00:09.188,2268.0,-256.0,-18316.0,2073.66
00:00:09.220,2272.0,-460.0,-18252.0,2014.62
00:00:09.253,2220.0,-420.0,-18356.0,2110.53
00:00:09.285,2296.0,-484.0,-18332.0,2097.56
00:00:09.316,2260.0,-384.0,-18264.0,2023.30
00:00:09.349,2244.0,-412.0,-18400.0,2156.91
00:00:09.381,2404.0,-368.0,-18352.0,2128.44
00:00:09.413,2192.0,-432.0,-18236.0,1988.35
00:00:09.445,2332.0,-464.0,-18248.0,2018.26
00:00:09.478,2252.0,-428.0,-18432.0,2190.00
00:00:09.510,2304.0,-352.0,-18324.0,2087.63
00:00:09.542,2272.0,-296.0,-18440.0,2197.80
00:00:09.575,2216.0,-448.0,-18428.0,2182.17
00:00:09.607,2344.0,-384.0,-18392.0,2160.74
00:00:09.639,2160.0,-412.0,-18300.0,2047.64
00:00:09.670,2244.0,-300.0,-18452.0,2206.37
00:00:09.703,2208.0,-420.0,-18352.0,2105.12
00:00:09.735,2268.0,-400.0,-18256.0,2016.69
00:00:09.767,2180.0,-476.0,-18280.0,2031.68
00:00:09.799,2332.0,-348.0,-18280.0,2047.43
00:00:09.832,2164.0,-428.0,-18284.0,2032.59
00:00:09.864,2224.0,-448.0,-18472.0,2226.79
00:00:09.896,2352.0,-432.0,-18328.0,2099.35
00:00:09.929,2224.0,-452.0,-18492.0,2246.74
00:00:09.961,2264.0,-344.0,-18288.0,2046.82
00:00:09.993,2304.0,-428.0,-18436.0,2200.34
00:00:10.025,2260.0,-512.0,-18368.0,2129.59
00:00:10.058,2324.0,-380.0,-18416.0,2181.95
00:00:10.090,2308.0,-412.0,-18400.0,2164.76
00:00:10.122,2252.0,-368.0,-18372.0,2129.17
00:00:10.155,2252.0,-396.0,-18396.0,2153.56
00:00:10.187,2236.0,-448.0,-18444.0,2200.44
00:00:10.219,2416.0,-452.0,-18324.0,2104.11
00:00:10.252,2264.0,-416.0,-18244.0,2004.65
00:00:10.284,2264.0,-308.0,-18308.0,2066.03
00:00:10.315,2352.0,-316.0,-18336.0,2104.93
00:00:10.347,2316.0,-396.0,-18348.0,2113.83
00:00:10.380,2168.0,-296.0,-18464.0,2209.20
00:00:10.412,2404.0,-372.0,-18264.0,2041.29
00:00:10.444,2256.0,-320.0,-18292.0,2049.37
00:00:10.476,2224.0,-312.0,-18204.0,1958.00
00:00:10.508,2304.0,-500.0,-18272.0,2039.47
00:00:10.540,2148.0,-492.0,-18300.0,2048.20
00:00:10.572,2228.0,-380.0,-18380.0,2134.44
00:00:10.605,2204.0,-296.0,-18636.0,2384.21
00:00:10.637,2288.0,-484.0,-18308.0,2072.76
00:00:10.669,2316.0,-272.0,-18264.0,2028.27
00:00:10.701,2224.0,-392.0,-18248.0,2003.21
00:00:10.734,2260.0,-400.0,-18148.0,1908.55
00:00:10.765,2252.0,-388.0,-18284.0,2042.25
00:00:10.797,2188.0,-412.0,-18236.0,1987.41
00:00:10.830,2332.0,-344.0,-18340.0,2106.87
00:00:10.862,2344.0,-356.0,-18376.0,2144.31
00:00:10.894,2172.0,-324.0,-18340.0,2087.01
00:00:10.927,2244.0,-420.0,-18328.0,2085.64
00:00:10.959,2248.0,-304.0,-18376.0,2131.49
00:00:10.991,2196.0,-352.0,-18456.0,2205.52
00:00:11.023,2248.0,-472.0,-18236.0,1996.10
00:00:11.056,2240.0,-424.0,-18160.0,1918.54
00:00:11.088,2236.0,-392.0,-18444.0,2199.18
00:00:11.119,2332.0,-376.0,-18296.0,2063.85
00:00:11.152,2208.0,-296.0,-18276.0,2027.28
00:00:11.184,2200.0,-356.0,-18276.0,2027.38
00:00:11.216,2376.0,-404.0,-18456.0,2228.70
00:00:11.247,2308.0,-468.0,-18308.0,2074.84
00:00:11.280,2244.0,-356.0,-18276.0,2032.69
00:00:11.312,2180.0,-404.0,-18256.0,2006.14
00:00:11.343,2292.0,-388.0,-18440.0,2201.95
00:00:11.376,2252.0,-416.0,-18448.0,2205.60
00:00:11.407,2236.0,-352.0,-18372.0,2126.92
00:00:11.439,2280.0,-420.0,-18268.0,2030.52
