time_unit,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,acc_mag,mean_ax,std_ax,rms_ax,min_ax,max_ax,range_ax,mean_ay,std_ay,rms_ay,min_ay,max_ay,range_ay,mean_az,std_az,rms_az,min_az,max_az,range_az,mean_acc_mag,std_acc_mag,rms_acc_mag,energy_acc_mag
27467,160,-396,15072,-104,66,-111,15078.0502718355,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27468,120,-312,15044,-126,109,-126,15047.7134475641,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27469,152,-344,15148,-149,94,-88,15152.6678839074,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27470,256,-320,15132,-123,99,-112,15137.5480180906,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27471,132,-352,15092,-129,88,-120,15096.681489652,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27472,128,-304,15104,-123,69,-114,15107.6012655881,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27473,136,-260,15104,-136,81,-106,15106.8498370772,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27474,72,-344,15256,-112,103,-104,15260.0477063474,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27475,44,-296,15076,-113,95,-124,15078.9697260788,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27476,144,-360,15152,-117,75,-114,15156.960117385,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27477,128,-384,15208,-132,103,-108,15213.3856849815,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27478,148,-448,15116,-117,77,-111,15123.3615310883,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27479,196,-316,15168,-120,89,-129,15172.5573322364,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27480,72,-320,15208,-127,93,-121,15211.5366745112,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27481,76,-312,15204,-119,93,-125,15207.3908347224,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27482,164,-276,15112,-127,90,-106,15115.4098852793,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27483,128,-340,15092,-130,77,-84,15096.3720144941,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27484,92,-328,15080,-123,71,-109,15083.8472545966,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27485,96,-276,15244,-147,78,-107,15246.8005824173,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27486,188,-368,15144,-139,84,-103,15149.6370913629,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27487,216,-312,15088,-132,109,-118,15092.7712498401,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27488,204,-444,15076,-133,93,-103,15083.916202366,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27489,188,-372,15172,-141,88,-126,15177.724203582,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27490,32,-404,15224,-153,91,-109,15229.3931592825,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27491,172,-404,15032,-146,69,-108,15038.4116182528,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27492,196,-432,15264,-126,91,-127,15271.3698141326,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27493,172,-372,15172,-142,66,-117,15177.534450628,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27494,164,-348,15216,-143,92,-109,15220.8625248374,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27495,260,-276,15132,-119,100,-113,15136.7499814194,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27496,108,-352,15196,-130,92,-110,15200.4599930397,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27497,128,-392,14992,-117,84,-106,14997.6702190707,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27498,184,-212,15240,-146,115,-108,15242.5850825902,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27499,156,-384,15328,-116,82,-110,15333.6028382112,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27500,224,-348,15012,-129,81,-118,15017.7036859834,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27501,140,-388,15140,-126,117,-123,15145.6179801288,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27502,140,-372,15260,-142,91,-86,15265.1755312541,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27503,140,-400,15180,-130,81,-104,15185.9145262971,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27504,164,-372,14972,-101,87,-111,14977.5186195845,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27505,208,-404,15148,-116,83,-125,15154.8138886626,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27506,148,-328,15108,-146,69,-106,15112.2848040923,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27507,184,-336,15144,-126,79,-104,15148.8444443792,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27508,148,-304,14996,-124,62,-110,14999.8111988118,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27509,216,-348,15296,-111,109,-110,15301.4828039638,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27510,180,-392,15192,-121,92,-120,15198.1225156267,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27511,72,-352,15060,-131,103,-108,15064.2851805189,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27512,140,-356,15152,-119,94,-102,15156.8281642301,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27513,104,-360,15188,-107,76,-117,15192.6218935377,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27514,152,-292,15160,-132,115,-134,15163.5737212571,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27515,112,-376,15128,-139,90,-109,15133.0864003349,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27516,72,-368,15236,-141,107,-103,15240.61363594,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27517,120,-304,14980,-121,88,-98,14983.5648628756,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27518,124,-292,15008,-127,101,-123,15011.3525040217,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27519,152,-312,15180,-130,107,-111,15183.9668071292,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27520,200,-368,15232,-123,93,-113,15237.7573153007,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27521,72,-300,15180,-138,79,-105,15183.1348541729,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27522,136,-288,15216,-131,111,-145,15219.3329683005,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27523,112,-368,15092,-119,101,-119,15096.9014039305,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27524,208,-356,15060,-135,79,-122,15065.6430330736,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27525,112,-336,15188,-107,85,-125,15192.1290147234,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27526,92,-428,15048,-121,83,-105,15054.3665426347,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27527,284,-392,15092,-142,92,-111,15099.7610577121,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27528,160,-400,15188,-135,73,-101,15194.1088583701,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
