time,ax,ay,az,gx,gy,gz,sw420
23:58:03:034,²ax,ay,az,gx,gy,gz,sw420
23:59:23:948,4200,8452,1308,-1609,1612,-356,0
23:59:24:202,1284,-2388,20964,-855,-898,-151,1
23:59:24:451,1400,-808,21044,-56,-337,-76,1
23:59:24:707,-4380,-11140,23440,-147,998,-339,1
23:59:24:954,52,3636,9272,1568,-1203,45,1
23:59:25:210,-324,-2976,32767,2300,3513,-82,1
23:59:25:456,1300,-184,9404,700,6,-17,0
23:59:25:715,-796,-3048,13632,-240,-745,-51,0
23:59:25:965,-184,412,15276,-574,386,-162,0
23:59:26:216,2356,628,24644,85,2049,-202,1
23:59:26:468,-3272,1148,6772,-44,548,-4,0
23:59:26:724,-1480,-2328,32767,340,-1467,45,1
23:59:26:976,-6272,172,32767,1902,-2063,-73,1
23:59:27:227,524,-3808,17960,-108,961,-68,0
23:59:27:478,52,-1048,20832,704,-337,-99,1
23:59:27:730,-680,908,18132,-339,26,-155,1
23:59:27:984,956,-3492,13820,-438,846,-243,0
23:59:28:236,-316,1624,13588,-45,778,-177,0
23:59:28:489,-920,504,15900,-236,-390,-209,1
23:59:28:739,496,1108,8828,-185,415,-72,0
23:59:28:995,-452,-1104,22568,-642,940,-187,1
23:59:29:246,540,-2068,29212,508,-391,-140,1
23:59:29:500,-128,1496,10360,-769,-440,-127,1
23:59:29:751,416,-1056,9104,-1199,2005,-44,1
23:59:30:000,3468,-2832,19360,506,-42,1,1
23:59:30:257,1312,2720,14656,-291,-173,-107,1
23:59:30:509,-5900,-2436,19836,3260,-33,-70,1
23:59:30:762,-576,-1088,18300,1157,-2140,-24,1
23:59:31:015,1164,-2632,13304,-468,2893,-133,0
23:59:31:264,-2224,2716,19080,92,714,-118,1
23:59:31:517,-872,-960,12140,-89,-1154,-18,1
23:59:31:772,-1104,-6880,15900,612,-688,-143,1
23:59:32:024,1608,2244,3628,-2012,-1444,-109,1
23:59:32:271,568,336,21512,1473,442,-23,0
23:59:32:529,4388,-2880,15864,-704,1377,-105,0
23:59:32:778,408,-2184,5596,-847,307,-108,0
23:59:33:035,-1408,2452,10068,-408,-1177,-159,1
23:59:33:286,-1152,-268,14184,-1212,-96,-176,1
23:59:33:535,-232,-392,13648,-277,67,-116,1
23:59:33:788,-284,-472,14388,-204,80,-128,1
23:59:34:041,-224,-140,14884,-162,-28,-132,0
23:59:34:292,-220,-236,14732,-150,63,-103,0
23:59:34:546,-416,-352,14556,-173,146,-119,0
23:59:34:796,1088,-960,15972,15,303,-111,0
23:59:35:049,1496,-2708,25348,144,186,-82,0
23:59:35:301,-72,-528,16492,-175,188,-159,0
23:59:35:555,-348,-504,14804,-157,112,-115,0
23:59:35:807,-192,-316,14600,-142,72,-118,0
23:59:36:060,-268,-440,15280,-164,50,-102,0
23:59:36:313,-248,-424,15416,-138,80,-121,0
23:59:36:563,-180,-328,14928,-163,75,-120,0
23:59:36:815,-328,336,13912,-204,77,-130,0
23:59:37:068,-196,-200,15188,-165,427,-87,0
23:59:37:322,-628,-428,15880,-163,-44,-160,0
23:59:37:574,-288,-348,15600,-166,124,-103,0
23:59:37:825,-296,-548,14988,-138,32,-144,0
23:59:38:076,-328,-364,15160,-146,76,-99,0
23:59:38:330,-348,-404,14780,-176,88,-125,0
23:59:38:582,-252,-316,14724,-142,57,-101,0
23:59:38:834,-236,-304,14928,-165,84,-124,0
23:59:39:087,-328,-324,14972,-153,72,-129,0
23:59:39:340,-336,-420,15004,-152,34,-114,0
23:59:39:591,-260,-412,15068,-158,55,-137,0
23:59:39:844,-276,-288,14928,-161,83,-128,0
23:59:40:096,-248,-396,14876,-147,53,-125,0
23:59:40:348,-308,-328,14856,-162,98,-125,0
23:59:40:601,-264,-300,15016,-147,98,-124,0
23:59:40:853,-296,-436,14880,-130,74,-132,0
23:59:41:107,-384,-588,14836,-183,109,-130,0
23:59:41:358,-232,-188,15056,-144,43,-118,0
23:59:41:610,-272,-280,15100,-150,68,-119,0
23:59:41:863,-244,-356,14920,-140,55,-123,0
23:59:42:116,-280,-272,15004,-141,37,-119,0
23:59:42:367,-316,-348,14936,-151,34,-116,0
23:59:42:620,-368,-296,15260,-159,58,-112,0
23:59:42:871,104,-144,15192,-127,38,-154,0
23:59:43:123,712,-392,13276,276,458,-152,0
23:59:43:380,-3168,-2556,13696,495,-879,-142,1
23:59:43:631,1056,-2024,19468,-766,257,-224,1
23:59:43:884,-312,264,13648,-216,141,-137,0
23:59:44:136,-1320,176,14168,-684,-303,-201,1
23:59:44:383,1308,420,15132,32,300,-78,1
23:59:44:638,-492,4140,7296,-757,-88,-230,0
23:59:44:889,-420,100,16348,-236,85,-240,1
23:59:45:143,1172,3420,12912,-309,-39,-82,0
23:59:45:398,2188,-1128,13016,-558,-166,-190,0
23:59:45:650,-1876,-4972,24984,-55,-259,-72,1
23:59:45:904,3056,-1060,13016,-1536,1252,-364,1
23:59:46:153,5544,612,-1256,-747,2447,-223,1
23:59:46:404,-3312,152,8876,916,-697,-111,0
23:59:46:659,-2512,-772,5676,-1323,-83,-75,0
23:59:46:908,228,1668,17848,810,1302,-80,0
23:59:47:165,-1292,-1540,9512,-523,-429,-83,1
23:59:47:415,-1632,3752,-11660,85,936,-129,1
23:59:47:668,-420,-1120,16800,-236,-387,-82,0
23:59:47:920,-1964,-4744,19084,800,-2407,21,1
23:59:48:172,-3164,496,21052,-304,636,-108,1
23:59:48:424,1552,3696,11860,-139,361,-110,1
23:59:48:678,3704,2912,5080,-1489,1167,-193,1
23:59:48:928,-140,-1768,13516,174,612,-91,0
23:59:49:181,196,-2004,19280,-892,603,-243,0
23:59:49:432,-5956,-4720,30584,1426,560,4,1
23:59:49:686,-1660,-524,9732,1398,1711,-52,0
23:59:49:940,-3372,-2776,15908,-64,1703,-341,1
23:59:50:193,-1516,1704,19260,-934,1045,-111,0
23:59:50:442,-2044,60,8028,-292,1213,-178,0
