sample_id,RMS,Std,Kurtosis,Skewness,Crest_Factor,Shape_Factor,Energy,AR1,AR2,AR_Residual_Std,Corr_XZ,Corr_YZ,Band1_Energy,Band2_Energy,Band3_Energy,Band4_Energy,Spectral_Centroid,Spectral_Entropy
3116,196.77306692962327,187.5643289647581,2.1452346745573116,0.1418293081733345,2.9721633612026483,1.4505959909266972,3097571.1895112,-0.09889092119245305,0.35848267430463454,179.49081780271652,-0.03998639666510826,-0.37729246990927934,0.3845631949396925,0.07815502575090495,0.1437082964604272,0.39357348284897525,0.9834456819291892,3.173810906409268
3156,338.6147724758771,336.691193826034,-0.48623224939608,-0.3562480852507101,1.8285035099699498,1.254618576099131,9172797.131111199,-0.0455778170715237,-0.0029986396655269946,340.10424218039105,0.06465576290523467,-0.3411059522716548,0.25452296235053823,0.2868636970881398,0.21179275298522432,0.2468205875760978,0.9701013113562432,3.326115611358375
3196,397.72094307301694,397.0749929169552,-1.1161343326123605,-0.09676616112540312,1.5567656438101478,1.1946972535700309,12654555.884711199,0.11650684809721416,-0.018315018484738554,398.84829304142863,-0.010571008657719644,-0.31721093288564534,0.3140214570507056,0.257208962854095,0.23896848761866182,0.1898010924765376,0.9473245544242862,3.196993165887254
3236,284.5539562348238,284.53354371672947,0.6244022677494234,-0.33421812792142647,2.175890675330592,1.4631417578884605,6477676.3207112,0.17994309630592267,0.05697845013618301,273.6393183859207,-0.13763320381035135,-0.29079743073947345,0.4121602081684528,0.13656415790133294,0.2705400879495418,0.1807355459806725,0.9035058219973525,3.2744745758847453
3316,89.45622772557537,74.74964882860655,-0.8285886232788626,0.09215057124433702,2.2451393838771856,1.2606975615014884,640193.3343112001,0.3912708736465136,0.09375794711466996,75.77422463168148,0.10732323020454396,0.038850748667427604,0.6070426592132359,0.20877552183002307,0.09500202201073231,0.08917979694600858,0.7880914512992934,2.4174118892171723
3356,88.24499758564221,77.09208779116052,-0.28463056883587834,0.0777414815189643,2.275955640486641,1.282339316925081,622974.3679112,0.21175503592733858,0.19808306741651793,79.10755522888667,0.1367184163170849,0.03057855988560849,0.532807137653123,0.21683795947620071,0.08181767122085827,0.16853723164981785,0.8502266497385192,2.586807360910927
3396,88.57661908703673,74.31942881911836,0.7512560127633141,-0.44781804944973275,2.2674347030837017,1.2589950096938476,627665.3959112,0.13821988882009306,0.310173692676091,78.01824406746768,0.07641693034443309,0.07914333156560732,0.5500666782361942,0.16282294299834438,0.11499563967891849,0.17211473908654293,0.8819563756466468,2.3637982597024214
3436,231.1273157350511,212.82459914211046,1.7019913059298792,0.12898413851729426,2.67886250498186,1.4197026353050766,4273586.8863111995,-0.0036066552160881884,0.13651350618002953,217.72278396463284,-0.3631557909344899,-0.4352206299422531,0.3657478571509201,0.22014166639878482,0.16285969204050021,0.25125078440979487,0.974014504806255,3.008050672759768
3476,357.7158162408953,346.39225958441966,-0.7122990302095897,-0.24626848767418452,1.7308664361177404,1.211288862861596,10236848.415111199,-0.041756161208715885,0.15333550680913316,347.7414791601375,-0.185501919860762,-0.3992805263449561,0.322273924031315,0.17030240098992913,0.20288839106684473,0.3045352839119112,0.9820207967539918,3.2913766662269492
3516,304.3702221619093,299.1664419683464,0.23849287626200155,-0.23859885538453468,2.034227578512711,1.3511138737059434,7411298.5711112,-0.09472076438639959,0.17726555148667889,286.46498573862516,0.0150288229674339,-0.2991360350451971,0.27974355366108344,0.11193303920942686,0.22117821993332942,0.3871451871961603,1.0052755042450112,3.3474792200752574
3595,143.76560614030743,133.2014921087598,8.97873970863105,-0.8723828960596186,4.3067206171363726,1.4052273144890595,1653483.9607112,0.21532220736210173,0.207823444767534,97.07333934685262,0.4258776932153394,0.17018963659343944,0.3566094218868697,0.12225422388608699,0.14747981344913327,0.3736565407779101,1.0522627570484944,2.960512962415697
3635,139.41463290806314,126.08400969195101,1.637574010954312,0.8321542459298947,3.879375419338296,1.315201242951055,1554915.1895112,0.05315808254421522,0.19113508044611535,130.44293369505058,0.06287514601995754,-0.15640859189977097,0.42156830702385645,0.18351053007060392,0.15104715859038462,0.24387400431515494,0.9635739387297779,2.922461400737459
